"zip","population","freq","per_year","one_in_every_per_year","per_100000_per_year","zip_vs_state"
61432,676,79,5.26666666666667,128.354430379747,779.092702169625,1.49236098751083
61433,74,14,0.933333333333333,79.2857142857143,1261.26126126126,2.4159603807394
61434,3312,339,22.6,146.548672566372,682.367149758454,1.30708208486949
61435,116,21,1.4,82.8571428571429,1206.89655172414,2.31182415743167
61436,951,85,5.66666666666667,167.823529411765,595.864002804066,1.14138431687328
61437,818,80,5.33333333333333,153.375,651.9967400163,1.24890721742728
61438,760,99,6.6,115.151515151515,868.421052631579,1.66347046515948
61439,269,23,1.53333333333333,175.434782608696,570.01239157373,1.09186525969688
61440,766,75,5,153.2,652.741514360313,1.25033384120698
61441,897,103,6.86666666666667,130.631067961165,765.514678558157,1.46635212788626
61442,762,89,5.93333333333333,128.426966292135,778.652668416448,1.49151809782056
61443,14214,1497,99.8,142.424849699399,702.124665822429,1.34492783300945
61447,924,91,6.06666666666667,152.307692307692,656.565656565656,1.25765902936759
61448,3823,427,28.4666666666667,134.297423887588,744.61592117883,1.42632031894555
61449,512,62,4.13333333333333,123.870967741935,807.291666666667,1.54637642673443
61450,1742,174,11.6,150.172413793103,665.901262916188,1.27554149017552
61451,393,27,1.8,218.333333333333,458.015267175573,0.877333486135463
61452,293,25,1.66666666666667,175.8,568.828213879409,1.08959695377082
61453,781,69,4.6,169.782608695652,588.98847631242,1.12821416718999
61454,725,82,5.46666666666667,132.621951219512,754.022988505747,1.44433966407159
61455,22086,1452,96.8,228.161157024793,438.286697455402,0.83954318504834
61458,822,94,6.26666666666667,131.170212765957,762.368207623682,1.46032502680077
61459,433,57,3.8,113.947368421053,877.598152424942,1.68104930484309
61460,291,33,2.2,132.272727272727,756.013745704468,1.44815298226942
61462,11643,954,63.6,183.066037735849,546.250966245813,1.04634997753818
61465,1213,84,5.6,216.607142857143,461.665292662819,0.884325151729838
61466,342,31,2.06666666666667,165.483870967742,604.288499025341,1.15752153580121
61467,1048,102,6.8,154.117647058824,648.854961832061,1.24288910535857
61468,104,7,0.466666666666667,222.857142857143,448.717948717949,0.859524366224594
61469,2184,276,18.4,118.695652173913,842.490842490842,1.61380085087067
61470,547,72,4.8,113.958333333333,877.513711151737,1.68088755661785
61471,140,16,1.06666666666667,131.25,761.904761904762,1.45943729122217
